"","Provfs","Estimates","e_alpha","PPPW"
"3184","262591",-4.46162507722774,0.0115435888133081,1.93778278868213
"3185","262592",-17,4.13993771878517e-08,7.10650838221522e-06
"3186","262595",-17,4.13993771878517e-08,7.10650838221522e-06
"3187","262596",-17,4.13993771878517e-08,7.10650838221522e-06
"3188","262597",-17,4.13993771878517e-08,7.10650838221522e-06
"3189","262599",-17,4.13993771878517e-08,7.10650838221522e-06
"3190","262600",-17,4.13993771878517e-08,7.10650838221522e-06
"3191","262603",-17,4.13993771878517e-08,7.10650838221522e-06
"3192","262604",-17,4.13993771878517e-08,7.10650838221522e-06
"3193","262605",-17,4.13993771878517e-08,7.10650838221522e-06
"3194","262606",-17,4.13993771878517e-08,7.10650838221522e-06
"3195","262607",-17,4.13993771878517e-08,7.10650838221522e-06
"3196","262610",-3.06777828086651,0.0465244042785139,7.32352545625888
"3197","262611",-4.35388372381544,0.0128567832979216,2.15282791240887
"3198","262612",-17,4.13993771878517e-08,7.10650838221522e-06
"3199","262613",-5.20626733913584,0.00548209835873835,0.931047146872672
"3200","262614",-17,4.13993771878517e-08,7.10650838221522e-06
"3201","262615",-17,4.13993771878517e-08,7.10650838221522e-06
"3202","262616",-17,4.13993771878517e-08,7.10650838221522e-06
"3203","262617",-4.95513813460149,0.00704710676311075,1.19322524213544
"3204","262618",-4.13894180388642,0.0159397099222738,2.65348986159537
"3205","262619",-17,4.13993771878517e-08,7.10650838221522e-06
"3206","262621",-17,4.13993771878517e-08,7.10650838221522e-06
"3207","262622",-2.33083311003977,0.0972147227815745,14.0501738171992
"3208","262624",-17,4.13993771878517e-08,7.10650838221522e-06
"3209","262625",-4.23781390862425,0.0144391226073947,2.41052671339182
"3210","262626",-5.2805408911923,0.00508967708653085,0.865057777244897
"3211","262627",-17,4.13993771878517e-08,7.10650838221522e-06
"3212","262628",-5.52898820741696,0.00397000387816023,0.676221725264827
"3213","262629",-2.79755887562803,0.0609586888849394,9.35698214864266
"3214","262630",-4.03753327216181,0.0176409341728382,2.92728113705219
"3215","262631",-17,4.13993771878517e-08,7.10650838221522e-06
"3216","262632",-17,4.13993771878517e-08,7.10650838221522e-06
"3217","262633",-17,4.13993771878517e-08,7.10650838221522e-06
"3218","262634",-17,4.13993771878517e-08,7.10650838221522e-06
"3219","262635",-17,4.13993771878517e-08,7.10650838221522e-06
"3220","262636",-17,4.13993771878517e-08,7.10650838221522e-06
"3221","262637",-3.80672540050558,0.0222208242498574,3.65574333288099
"3222","262639",-17,4.13993771878517e-08,7.10650838221522e-06
"3223","262640",-2.93829193168558,0.0529561041762655,8.24216935281482
"3224","262641",-17,4.13993771878517e-08,7.10650838221522e-06
"3225","262642",-3.59142482809208,0.0275590355476368,4.4893339414345
"3226","262643",-4.00871118702991,0.0181567808583832,3.00995501245185
"3227","262644",-17,4.13993771878517e-08,7.10650838221522e-06
"3228","262645",-3.5051388287885,0.0300426022765702,4.87161381459887
"3229","262646",-5.37854769738976,0.00461451874353204,0.785021074447447
"3230","262647",-4.01354505604754,0.0180692251448452,2.99593388075163
"3231","262648",-4.44826978560922,0.0116987908858408,1.96325430089148
"3232","262649",-3.8476230831763,0.0213303767619979,3.51508482629151
"3233","262650",-17,4.13993771878517e-08,7.10650838221522e-06
"3234","262651",-17,4.13993771878517e-08,7.10650838221522e-06
"3235","262653",-17,4.13993771878517e-08,7.10650838221522e-06
"3236","262654",-4.53248666949972,0.010753901398047,1.80794686081133
"3237","262656",-17,4.13993771878517e-08,7.10650838221522e-06
"3238","262657",-5.00948284211138,0.00667435410875227,1.13092340978462
"3239","262658",-17,4.13993771878517e-08,7.10650838221522e-06
"3240","262659",-5.04477131021167,0.0064429336285116,1.09219874188475
"3241","262660",-17,4.13993771878517e-08,7.10650838221522e-06
"3242","262662",-17,4.13993771878517e-08,7.10650838221522e-06
"3243","262663",-4.67342149334184,0.00934025716549208,1.57454310867343
"3244","262666",-17,4.13993771878517e-08,7.10650838221522e-06
"3245","262667",-17,4.13993771878517e-08,7.10650838221522e-06
"3246","262669",-4.62114727870628,0.0098414986399535,1.6574464679765
"3247","262671",-17,4.13993771878517e-08,7.10650838221522e-06
"3248","262673",-4.92885831624603,0.00723475837422683,1.22455546147983
"3249","262674",-3.58302436982152,0.0277915191931618,4.52526635235284
"3250","262675",-5.19494104538298,0.00554454318177664,0.941538601916018
"3251","262676",-3.06351295099283,0.0467232700224397,7.35224037954012
"3252","262677",-17,4.13993771878517e-08,7.10650838221522e-06
"3253","262678",-4.41947707623048,0.0120405269164962,2.01928641469024
"3254","262680",-17,4.13993771878517e-08,7.10650838221522e-06
"3255","262681",-4.07661664149785,0.0169647665504502,2.81867002041668
"3256","262682",-17,4.13993771878517e-08,7.10650838221522e-06
"3257","262683",-3.50421667372014,0.0300703189921171,4.87586052498959
"3258","262685",-6.39647815692792,0.00166741933371486,0.285292628183333
"3259","262686",-5.54108944913852,0.00392225141637449,0.668149890120543
"3260","262687",-17,4.13993771878517e-08,7.10650838221522e-06
"3261","262688",-5.33222047018111,0.00483332583221176,0.821895715209898
"3262","262689",-17,4.13993771878517e-08,7.10650838221522e-06
"3263","262690",-4.30424545005104,0.0135110764786006,2.25957322010749
"3264","262691",-17,4.13993771878517e-08,7.10650838221522e-06
"3265","262693",-17,4.13993771878517e-08,7.10650838221522e-06
"3266","262694",-3.52747823922797,0.029378909111721,4.76979539706716
"3267","262695",-17,4.13993771878517e-08,7.10650838221522e-06
"3268","263508",-6.68519258537774,0.00124927413869421,0.213923376820323
"3269","263510",-17,4.13993771878517e-08,7.10650838221522e-06
"3270","263511",-17,4.13993771878517e-08,7.10650838221522e-06
"3271","272300",-17,4.13993771878517e-08,7.10650838221522e-06
"3272","272305",-17,4.13993771878517e-08,7.10650838221522e-06
"3273","272500",-5.41121571080736,0.00446620729311463,0.760008980923445
"3274","272502",-5.38248791269822,0.00459637232002282,0.781961529532865
"3275","272503",-4.07463641288681,0.0169983939505343,2.82407803207353
"3276","272504",-3.30298508386971,0.036773232217672,5.890426694878
"3277","272505",-17,4.13993771878517e-08,7.10650838221522e-06
"3278","272506",-3.32222129505816,0.0360726147733076,5.78552607288641
"3279","272507",-4.08231651473443,0.0168683445891535,2.80315949455973
"3280","272508",-17,4.13993771878517e-08,7.10650838221522e-06
"3281","272509",-17,4.13993771878517e-08,7.10650838221522e-06
"3282","272510",-4.83467285947785,0.00794928843400877,1.34364611218425
"3283","272511",-17,4.13993771878517e-08,7.10650838221522e-06
"3284","272512",-6.18704167216034,0.00205589979141672,0.35149435700296
"3285","272513",-3.20377379984631,0.0406086654732698,6.46004536617211
"3286","272514",-17,4.13993771878517e-08,7.10650838221522e-06
"3287","28006F",-17,4.13993771878517e-08,7.10650838221522e-06
"3288","282313",-17,4.13993771878517e-08,7.10650838221522e-06
"3289","282314",-17,4.13993771878517e-08,7.10650838221522e-06
"3290","282316",-17,4.13993771878517e-08,7.10650838221522e-06
"3291","282318",-17,4.13993771878517e-08,7.10650838221522e-06
"3292","282500",-17,4.13993771878517e-08,7.10650838221522e-06
"3293","282501",-17,4.13993771878517e-08,7.10650838221522e-06
"3294","282502",-3.21547470114325,0.0401362765643596,6.39030945861849
"3295","282503",-17,4.13993771878517e-08,7.10650838221522e-06
"3296","282504",-5.08037557074239,0.00621757343871057,1.05445492459607
"3297","282506",-17,4.13993771878517e-08,7.10650838221522e-06
"3298","282507",-3.43153079143803,0.0323374010484348,5.22177170565294
"3299","282508",-17,4.13993771878517e-08,7.10650838221522e-06
"3300","282509",-17,4.13993771878517e-08,7.10650838221522e-06
"3301","282511",-17,4.13993771878517e-08,7.10650838221522e-06
"3302","282512",-4.91895368294795,0.00730677204872156,1.23657281791725
"3303","282513",-17,4.13993771878517e-08,7.10650838221522e-06
"3304","282514",-3.79359944102362,0.022514416513436,3.7020183382309
"3305","282515",-4.25524022382871,0.0141896816364686,2.37000544661973
"3306","282516",-17,4.13993771878517e-08,7.10650838221522e-06
"3307","282517",-1.12711048543337,0.323968015571898,34.515800774775
"3308","282518",-3.79692565784004,0.0224396530912233,3.69023917178865
"3309","282519",-17,4.13993771878517e-08,7.10650838221522e-06
"3310","282520",-17,4.13993771878517e-08,7.10650838221522e-06
"3311","282521",-4.33705399597912,0.0130749904951588,2.18845701140289
"3312","282522",-17,4.13993771878517e-08,7.10650838221522e-06
"3313","282523",-17,4.13993771878517e-08,7.10650838221522e-06
"3314","282524",-17,4.13993771878517e-08,7.10650838221522e-06
"3315","282525",-17,4.13993771878517e-08,7.10650838221522e-06
"3316","282526",-17,4.13993771878517e-08,7.10650838221522e-06
"3317","282527",-5.10060735694749,0.00609304478839583,1.03358450480673
"3318","282528",-3.97893876208433,0.0187054797725253,3.09771866978665
"3319","282529",-3.08428470953484,0.0457627558588959,7.21336241130239
"3320","282530",-3.55668338429806,0.0285333019525187,4.63971094311046
"3321","282531",-17,4.13993771878517e-08,7.10650838221522e-06
"3322","282532",-17,4.13993771878517e-08,7.10650838221522e-06
"3323","282533",-3.58723844015563,0.0276746501966261,4.50720704192405
"3324","282534",-4.06938980389981,0.0170878122432915,2.83845509624708
"3325","282535",-4.144556605938,0.01585046239437,2.6390780800411
"3326","282536",-17,4.13993771878517e-08,7.10650838221522e-06
"3327","292500",-4.54209439262504,0.0106510756425637,1.79101202555363
"3328","292501",-6.27613282730251,0.001880659384303,0.32164371465902
"3329","292504",-6.31207905665014,0.00181425737159555,0.310327389972277
"3330","292505",-5.13813230525395,0.00586864031264235,0.995950013032711
"3331","292506",-17,4.13993771878517e-08,7.10650838221522e-06
"3332","292507",-17,4.13993771878517e-08,7.10650838221522e-06
"3333","292508",-17,4.13993771878517e-08,7.10650838221522e-06
"3334","292511",-5.46682368729175,0.0042246296142092,0.719237126780221
"3335","292512",-4.74185681063244,0.00872243522931844,1.47213848472503
"3336","292513",-4.43505942796898,0.0118543614060828,1.98877117367374
